  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0012 AIRFOILS                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -14.000  -0.8751   0.09584   0.09008  -0.0133   1.0000   0.0392
 -13.750  -0.9212   0.08276   0.07678  -0.0224   1.0000   0.0386
 -13.500  -0.9550   0.07345   0.06721  -0.0287   1.0000   0.0383
 -13.250  -0.9811   0.06643   0.05992  -0.0328   1.0000   0.0384
 -13.000  -1.0020   0.06089   0.05410  -0.0352   1.0000   0.0386
 -12.750  -1.0192   0.05635   0.04927  -0.0361   1.0000   0.0389
 -12.500  -1.0332   0.05253   0.04514  -0.0358   1.0000   0.0394
 -12.250  -1.0442   0.04926   0.04152  -0.0345   1.0000   0.0399
 -12.000  -1.0447   0.04681   0.03892  -0.0330   1.0000   0.0405
 -11.750  -1.0402   0.04492   0.03695  -0.0314   1.0000   0.0413
 -11.500  -1.0359   0.04320   0.03513  -0.0296   1.0000   0.0422
 -11.250  -1.0301   0.04152   0.03330  -0.0277   1.0000   0.0434
 -11.000  -1.0224   0.03971   0.03125  -0.0260   1.0000   0.0450
 -10.750  -1.0131   0.03782   0.02903  -0.0243   1.0000   0.0467
 -10.500  -0.9997   0.03620   0.02733  -0.0230   1.0000   0.0481
 -10.250  -0.9851   0.03484   0.02594  -0.0217   1.0000   0.0497
 -10.000  -0.9701   0.03353   0.02451  -0.0204   1.0000   0.0518
  -9.750  -0.9540   0.03219   0.02292  -0.0190   1.0000   0.0544
  -9.500  -0.9377   0.03089   0.02157  -0.0178   1.0000   0.0567
  -9.250  -0.9208   0.02978   0.02043  -0.0165   1.0000   0.0592
  -9.000  -0.9030   0.02869   0.01922  -0.0152   1.0000   0.0626
  -8.750  -0.8854   0.02758   0.01803  -0.0139   1.0000   0.0660
  -8.500  -0.8678   0.02663   0.01706  -0.0126   1.0000   0.0697
  -8.250  -0.8488   0.02572   0.01601  -0.0114   1.0000   0.0744
  -8.000  -0.8315   0.02476   0.01510  -0.0100   1.0000   0.0790
  -7.750  -0.8125   0.02394   0.01420  -0.0086   1.0000   0.0850
